team,abbrev,seed,round,pick_pct,pick_count
Illinois Fighting Illini,ILL,3,R1,92.364,14273760
Pennsylvania Quakers,PENN,14,R1,7.636,1180053
UConn Huskies,CONN,2,R1,96.404,14898096
Furman Paladins,FUR,15,R1,3.596,555717
Tennessee Volunteers,TENN,6,R1,83.5099,12905873
M-OH/SMU,M-OH/SMU,11,R1,16.4901,2548428
Kentucky Wildcats,UK,7,R2,16.1626,2497751
Santa Clara Broncos,SCU,10,R2,4.0889,631887
Iowa State Cyclones,ISU,2,R2,78.1848,12082572
Tennessee State Tigers,TNST,15,R2,1.5637,241658
Wisconsin Badgers,WIS,5,R2,33.9261,5243057
High Point Panthers,HPU,12,R2,3.3198,513058
Arkansas Razorbacks,ARK,4,R2,60.0733,9283929
Hawai'i Rainbow Warriors,HAW,13,R2,2.6808,414303
UCLA Bruins,UCLA,7,R2,15.7945,2440866
UCF Knights,UCF,10,R2,4.0612,627615
UConn Huskies,CONN,2,R2,78.6737,12158123
Furman Paladins,FUR,15,R2,1.4706,227264
Duke Blue Devils,DUKE,1,R1,98.0726,15155958
Siena Saints,SIE,16,R1,1.9274,297855
Michigan Wolverines,MICH,1,E8,56.7483,8769795
Howard Bison,HOW,16,E8,0.5135,79362
Georgia Bulldogs,UGA,8,E8,0.7355,113658
Saint Louis Billikens,SLU,9,E8,0.5465,84454
Texas Tech Red Raiders,TTU,5,E8,2.67,412614
Akron Zips,AKR,12,E8,0.2662,41145
Alabama Crimson Tide,ALA,4,E8,3.8,587240
Hofstra Pride,HOF,13,E8,0.1809,27959
Tennessee Volunteers,TENN,6,E8,2.4284,375276
M-OH/SMU,M-OH/SMU,11,E8,0.3892,60146
Virginia Cavaliers,UVA,3,E8,8.1998,1267182
Wright State Raiders,WRST,14,E8,0.1399,21622
Kentucky Wildcats,UK,7,E8,2.0041,309712
Santa Clara Broncos,SCU,10,E8,0.3347,51724
Iowa State Cyclones,ISU,2,E8,20.8063,3215372
Tennessee State Tigers,TNST,15,E8,0.2367,36579
Virginia Cavaliers,UVA,3,R1,94.9195,14668880
Wright State Raiders,WRST,14,R1,5.0805,785140
Purdue Boilermakers,PUR,2,R1,96.3758,14893709
Queens University Royals,QUC,15,R1,3.6242,560075
Arkansas Razorbacks,ARK,4,R1,92.1266,14237258
Hawai'i Rainbow Warriors,HAW,13,R1,7.8734,1216762
Arizona Wildcats,ARIZ,1,S16,73.6286,11378675
Long Island University Sharks,LIU,16,S16,0.8723,134803
Villanova Wildcats,VILL,8,S16,2.2216,343322
Utah State Aggies,USU,9,S16,1.0189,157455
Wisconsin Badgers,WIS,5,S16,6.7096,1036915
High Point Panthers,HPU,12,S16,0.5543,85663
Arkansas Razorbacks,ARK,4,S16,14.3283,2214323
Hawai'i Rainbow Warriors,HAW,13,S16,0.6664,102986
Arizona Wildcats,ARIZ,1,R2,91.394,14124193
Long Island University Sharks,LIU,16,R2,1.3421,207407
Villanova Wildcats,VILL,8,R2,4.544,702232
Utah State Aggies,USU,9,R2,2.7199,420340
Tennessee Volunteers,TENN,6,R2,29.9184,4623538
M-OH/SMU,M-OH/SMU,11,R2,4.2521,657106
Virginia Cavaliers,UVA,3,R2,64.2034,9921880
Wright State Raiders,WRST,14,R2,1.6261,251289
Louisville Cardinals,LOU,6,R2,16.7098,2582300
South Florida Bulls,USF,11,R2,7.3368,1133813
Michigan State Spartans,MSU,3,R2,74.1747,11462813
North Dakota State Bison,NDSU,14,R2,1.7788,274887
Louisville Cardinals,LOU,6,R1,60.7227,9384106
South Florida Bulls,USF,11,R1,39.2773,6069934
Arizona Wildcats,ARIZ,1,E8,56.3336,8705686
Long Island University Sharks,LIU,16,E8,0.6635,102532
Villanova Wildcats,VILL,8,E8,0.8332,128760
Utah State Aggies,USU,9,E8,0.349,53938
Wisconsin Badgers,WIS,5,E8,3.0203,466747
High Point Panthers,HPU,12,E8,0.2117,32716
Arkansas Razorbacks,ARK,4,E8,9.1251,1410178
Hawai'i Rainbow Warriors,HAW,13,E8,0.2862,44228
BYU Cougars,BYU,6,E8,2.5258,390333
Texas Longhorns,TEX,11,E8,0.4229,65353
Gonzaga Bulldogs,GONZ,3,E8,9.3541,1445571
Kennesaw State Owls,KENN,14,E8,0.1433,22148
