team,seed,region,R1_implied,S16_implied,E8_implied,F4_implied,championship_implied
Duke,1,East,0.970756,0.576245,0.564972,0.516114,0.173298
Michigan,1,Midwest,0.969149,0.620257,0.608187,0.477147,0.165596
Arizona,1,West,0.973662,0.623478,0.606061,0.461758,0.149037
Florida,1,South,0.96595,0.561029,0.471771,0.393532,0.099358
Houston,2,South,0.959616,0.601102,0.448569,0.235031,0.067744
Iowa St.,2,Midwest,0.96595,0.593863,0.405458,0.151475,0.046574
Connecticut,2,East,0.954401,0.551724,0.353107,0.162207,0.041399
Illinois,3,South,0.95648,0.581065,0.348028,0.184667,0.037259
Purdue,2,West,0.963565,0.591005,0.399113,0.17697,0.0207
Michigan St.,3,East,0.924262,0.533333,0.282486,0.10138,0.018175
Alabama,4,Midwest,0.872914,0.494886,0.179337,0.088361,0.014611
St. John's,5,East,0.789779,0.45364,0.176554,0.054069,0.012216
Arkansas,4,West,0.936585,0.480597,0.206948,0.079636,0.012216
Gonzaga,3,West,0.948509,0.565027,0.317812,0.132727,0.011291
Kansas,4,East,0.900563,0.484291,0.225989,0.05069,0.009805
Virginia,3,Midwest,0.944138,0.560871,0.296296,0.113606,0.009805
Wisconsin,5,West,0.80445,0.428641,0.155211,0.049773,0.0092
Nebraska,4,South,0.886918,0.500918,0.193349,0.048475,0.0092
Vanderbilt,5,South,0.841043,0.440808,0.193349,0.036933,0.0092
Texas Tech,5,Midwest,0.780488,0.422303,0.148148,0.049703,0.0092
N. Carolina,6,South,0.577402,0.347303,0.116009,0.029831,0.007378
Tennessee,6,Midwest,0.731707,0.343121,0.124756,0.037869,0.007378
Louisville,6,East,0.675422,0.380077,0.127119,0.031194,0.006159
Miami (FL),7,West,0.593018,0.29875,0.07391,0.022121,0.004935
St. Mary's,7,South,0.560457,0.30723,0.07734,0.021544,0.004935
Kentucky,7,Midwest,0.627178,0.316727,0.093567,0.030586,0.004935
UCLA,7,East,0.675422,0.306513,0.084746,0.026162,0.004117
BYU,6,West,0.731707,0.337717,0.088692,0.025689,0.002969
Iowa,9,South,0.560457,0.233762,0.054138,0.015208,0.002476
Saint Louis,9,Midwest,0.453772,0.197954,0.038986,0.015593,0.002123
UCF,10,East,0.342319,0.110345,0.028249,0.010013,0.001858
Ohio St.,8,East,0.572465,0.257471,0.070621,0.019781,0.001487
South Florida,11,East,0.342319,0.073563,0.021186,0.00803,0.001487
Villanova,8,West,0.47824,0.207826,0.044346,0.015615,0.001487
Utah St.,9,West,0.543924,0.246793,0.051737,0.015615,0.001487
Missouri,10,West,0.424178,0.097418,0.022173,0.007885,0.001487
Clemson,8,South,0.453772,0.18701,0.03867,0.015208,0.001487
Texas A&M,10,South,0.453772,0.100184,0.023202,0.007679,0.001487
Georgia,8,Midwest,0.560457,0.230947,0.046784,0.015593,0.001487
TCU,9,East,0.443459,0.196169,0.042373,0.013296,0.000992
TX/NCST,11,West,0.286944,0.051956,0.014782,0.005274,0.000992
VCU,11,South,0.443459,0.066789,0.015468,0.005136,0.000992
Santa Clara,10,Midwest,0.424178,0.092379,0.023392,0.007874,0.000992
Northern Iowa,12,East,0.226886,0.036782,0.010593,0.003231,0.000744
High Point,12,West,0.212089,0.032473,0.008869,0.003173,0.000744
McNeese,12,South,0.175786,0.033395,0.009281,0.00309,0.000744
MOH/SMU,11,Midwest,0.286944,0.046189,0.011696,0.005267,0.000744
Akron,12,Midwest,0.237954,0.039591,0.011696,0.003168,0.000744
California Baptist,13,East,0.114778,0.018391,0.00565,0.001619,0.000496
Hawaii,13,West,0.075047,0.016236,0.004435,0.00159,0.000496
Troy,13,South,0.130081,0.020037,0.00464,0.001548,0.000496
Hofstra,13,Midwest,0.144535,0.019795,0.005458,0.001587,0.000496
N. Dak. St.,14,East,0.088692,0.012261,0.003531,0.00108,0.000372
Kennesaw St.,14,West,0.070696,0.012989,0.002956,0.00106,0.000372
Pennsylvania,14,South,0.046458,0.010018,0.003094,0.001033,0.000372
Wright St.,14,Midwest,0.065041,0.013197,0.003899,0.001059,0.000372
Furman,15,East,0.054201,0.00613,0.002119,0.00081,0.000298
Queens University,15,West,0.042418,0.006495,0.002217,0.000796,0.000298
Idaho,15,South,0.037523,0.006679,0.00232,0.000775,0.000298
Tennessee St.,15,Midwest,0.031471,0.005279,0.001559,0.000794,0.000298
Siena,16,East,0.0271,0.003065,0.000706,0.000324,0.000149
LIU Brooklyn,16,West,0.017422,0.002598,0.000739,0.000318,0.000149
PV/LEH,16,South,0.031471,0.002672,0.000773,0.00031,0.000149
UMBC/HOW,16,Midwest,0.01913,0.002639,0.00078,0.000318,0.000149
